company,paid_maternity_leave,unpaid_maternity_leave,paid_paternity_leave,unpaid_paternity_leave,main_industry,sub_industry,avg_unpaid_leave,avg_paid_leave,avg_leave,paid_leave_discrepancy,unpaid_leave_discrepancy,paid_to_unpaid_leave_ratio
Epsilon,6.0,6.0,6.0,6.0,Advertising,,6.0,6.0,6.0,0.0,0.0,1.0
The Walt Disney Company,5.0,4.0,4.5,4.0,Arts and Entertainment,,4.0,4.75,4.375,0.5,0.0,1.1875
Guild Education,14.0,0.0,8.0,4.0,Business Services,Other,2.0,11.0,6.5,6.0,-4.0,5.5
WeWork,14.0,2.0,16.0,4.0,Business Services,Other,3.0,15.0,9.0,-2.0,-2.0,5.0
Randstad USA,5.0,7.0,0.0,0.0,Business Services,Staffing and Outsourcing,3.5,2.5,3.0,5.0,7.0,0.7142857142857143
Bain & Company,20.5,5.0,21.0,5.0,Consulting Services,,5.0,20.75,12.875,-0.5,0.0,4.15
World 50,8.0,12.0,1.0,12.0,Consulting Services,,12.0,4.5,8.25,7.0,0.0,0.375
"ConAgra Foods, Inc.",6.0,6.0,2.0,6.0,Consumer Packaged Goods,Packaged Foods,6.0,4.0,5.0,4.0,0.0,0.6666666666666666
Anduril Industries,16.0,0.0,16.0,0.0,Defense and Space,,0.0,16.0,8.0,0.0,0.0,
Northrop Grumman,3.0,12.0,2.0,12.0,Defense and Space,,12.0,2.5,7.25,1.0,0.0,0.20833333333333334
The University of Vermont,0.0,12.0,0.0,12.0,Educational Services,College and Universities,12.0,0.0,6.0,0.0,0.0,0.0
Belden,0.0,12.0,0.0,12.0,Electronics,Manufacturing,12.0,0.0,6.0,0.0,0.0,0.0
Motorola Solutions,6.0,7.5,0.0,6.0,Electronics,Manufacturing,6.75,3.0,4.875,6.0,1.5,0.4444444444444444
MFS Investment Management,16.0,2.0,12.0,0.0,Finance,Asset Management,1.0,14.0,7.5,4.0,2.0,14.0
PIMCO,12.0,12.0,3.0,12.0,Finance,Asset Management,12.0,7.5,9.75,9.0,0.0,0.625
Sandia National Laboratories,6.0,6.0,6.0,6.0,Government,Contractor,6.0,6.0,6.0,0.0,0.0,1.0
Los Angeles County,0.0,12.0,0.0,12.0,Government,County,12.0,0.0,6.0,0.0,0.0,0.0
Federal Reserve Bank of Chicago,12.0,0.0,6.0,0.0,Government,Federal,0.0,9.0,4.5,6.0,0.0,
Southern Health Partners,4.0,8.0,2.0,2.0,Healthcare,Diversified,5.0,3.0,4.0,2.0,6.0,0.6
Denver Health Medical Center,2.5,10.5,0.0,12.0,Healthcare,Hospitals and Clinics,11.25,1.25,6.25,2.5,-1.5,0.1111111111111111
Kohler Co.,6.0,6.0,2.0,12.0,Industrial,Equipment Manufacturing,9.0,4.0,6.5,4.0,-6.0,0.4444444444444444
UnitedHealth Group,4.0,8.0,5.0,4.0,Insurance,Health,6.0,4.5,5.25,-1.0,4.0,0.75
TEGNA,12.0,12.0,2.0,12.0,Media,Television,12.0,7.0,9.5,10.0,0.0,0.5833333333333334
BHP Billiton Ltd.,18.0,34.0,2.0,8.0,Natural Resources,Metals and Mining,21.0,10.0,15.5,16.0,26.0,0.47619047619047616
Roman Catholic Archdiocese of Philadelphia,0.0,12.0,0.0,12.0,Nonprofit,Religious,12.0,0.0,6.0,0.0,0.0,0.0
Bristol Myers Squibb,15.0,0.0,8.0,16.0,Pharmaceutical,,8.0,11.5,9.75,7.0,-16.0,1.4375
Walgreens,6.0,3.0,8.0,24.0,Pharmacies and Drug Stores,,13.5,7.0,10.25,-2.0,-21.0,0.5185185185185185
Invitation Homes,6.0,6.0,6.0,3.0,Real Estate,,4.5,6.0,5.25,0.0,3.0,1.3333333333333333
Cushman & Wakefield,9.0,0.0,6.0,6.0,Real Estate,Development and Management,3.0,7.5,5.25,3.0,-6.0,2.5
"L Brands, Inc.",14.0,0.0,6.0,6.0,Retail,"Shoes, Accessories and Apparel",3.0,10.0,6.5,8.0,-6.0,3.3333333333333335
Chronosphere,16.0,8.0,16.0,8.0,Technology,B2B Tech Services,8.0,16.0,12.0,0.0,0.0,2.0
Dropbox,24.0,0.0,24.0,24.0,Technology,Consumer Internet,12.0,24.0,18.0,0.0,-24.0,2.0
Fairygodboss Inc.,12.0,0.0,21.0,3.0,Technology,Consumer Internet,1.5,16.5,9.0,-9.0,-3.0,11.0
SiriusXM & Pandora,14.0,0.0,14.0,2.0,Technology,Consumer Internet,1.0,14.0,7.5,0.0,-2.0,14.0
Stack Overflow,16.0,0.0,16.0,8.0,Technology,Consumer Internet,4.0,16.0,10.0,0.0,-8.0,4.0
Electronic Arts,11.0,12.0,11.0,12.0,Technology,Gaming,12.0,11.0,11.5,0.0,0.0,0.9166666666666666
Ginkgo Bioworks,12.0,0.0,2.0,0.0,Technology,Research,0.0,7.0,3.5,10.0,0.0,
